iter	Passed	Remaining
939	2164	138
940	2165	135
941	2169	133
942	2171	131
943	2172	128
944	2174	126
945	2175	124
946	2177	121
947	2179	119
948	2180	117
949	2184	114
950	2186	112
951	2188	110
952	2189	108
953	2191	105
954	2193	103
955	2194	101
956	2199	98
957	2201	96
958	2202	94
959	2204	91
960	2205	89
961	2207	87
962	2208	84
963	2209	82
964	2212	80
965	2215	77
966	2216	75
967	2218	73
968	2219	71
969	2221	68
970	2222	66
971	2223	64
972	2225	61
973	2228	59
974	2230	57
975	2232	54
976	2233	52
977	2234	50
978	2236	47
979	2237	45
980	2239	43
981	2240	41
982	2244	38
983	2245	36
984	2247	34
985	2248	31
986	2249	29
987	2251	27
988	2252	25
989	2254	22
990	2255	20
991	2258	18
992	2261	15
993	2262	13
994	2264	11
995	2265	9
996	2266	6
997	2268	4
998	2269	2
999	2271	0
